round,scopeFamily,requiredFamily,profileId,profileLabel,controlRunId,experimentalRunId,controlElapsedMs,experimentalElapsedMs,addedWallClockMs,controlEligibleTimeoutCount,retryAttemptCount,retrySuccessCount,recoveredRawDocs,recoveredAcceptedAfterSourcePolicy,recoveredFinalContribution,slowdownWindowObserved,hasRetrySuccess,slateChanged,titlesAddedCount,titlesDroppedCount,titlesReorderedCount
15,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r15,cf-experimental-romance-r15,400,599,199,0,0,0,0,0,0,false,false,false,0,0,0
15,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r15,cf-experimental-adventure_historical-r15,1680,765,-915,0,0,0,0,0,0,false,false,false,0,0,0
16,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r16,cf-experimental-mystery_thriller-r16,131,208,77,0,0,0,0,0,0,false,false,false,0,0,0
16,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r16,cf-experimental-horror_paranormal-r16,481,356,-125,0,0,0,0,0,0,false,false,false,0,0,0
16,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r16,cf-experimental-speculative_scifi-r16,482,4686,4204,0,1,1,8,0,0,false,true,false,0,0,0
16,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r16,cf-experimental-contemporary-r16,726,493,-233,0,0,0,0,0,0,false,false,false,0,0,0
16,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r16,cf-experimental-romance-r16,1754,323,-1431,0,0,0,0,0,0,false,false,false,0,0,0
16,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r16,cf-experimental-adventure_historical-r16,884,2617,1733,0,0,0,0,0,0,false,false,false,0,0,0
16,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r16,cf-experimental-fantasy-r16,2627,2595,-32,0,0,0,0,0,0,false,false,false,0,0,0
17,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r17,cf-experimental-horror_paranormal-r17,326,549,223,0,0,0,0,0,0,false,false,false,0,0,0
17,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r17,cf-experimental-speculative_scifi-r17,951,541,-410,0,0,0,0,0,0,false,false,false,0,0,0
17,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r17,cf-experimental-contemporary-r17,920,595,-325,0,0,0,0,0,0,false,false,false,0,0,0
17,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r17,cf-experimental-romance-r17,811,569,-242,0,0,0,0,0,0,false,false,false,0,0,0
17,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r17,cf-experimental-adventure_historical-r17,1931,1931,0,0,0,0,0,0,0,false,false,false,0,0,0
17,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r17,cf-experimental-fantasy-r17,1454,3394,1940,0,0,0,0,0,0,false,false,false,0,0,0
17,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r17,cf-experimental-mystery_thriller-r17,483,490,7,0,0,0,0,0,0,false,false,false,0,0,0
18,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r18,cf-experimental-speculative_scifi-r18,1346,946,-400,0,0,0,0,0,0,false,false,false,0,0,0
18,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r18,cf-experimental-contemporary-r18,1193,958,-235,0,0,0,0,0,0,false,false,false,0,0,0
18,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r18,cf-experimental-romance-r18,670,1045,375,0,0,0,0,0,0,false,false,false,0,0,0
18,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r18,cf-experimental-adventure_historical-r18,2126,1008,-1118,0,0,0,0,0,0,false,false,false,0,0,0
18,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r18,cf-experimental-fantasy-r18,1666,3222,1556,0,0,0,0,0,0,false,false,false,0,0,0
18,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r18,cf-experimental-mystery_thriller-r18,877,186,-691,0,0,0,0,0,0,false,false,false,0,0,0
18,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r18,cf-experimental-horror_paranormal-r18,246,680,434,0,0,0,0,0,0,false,false,false,0,0,0
19,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r19,cf-experimental-contemporary-r19,379,376,-3,0,0,0,0,0,0,false,false,false,0,0,0
19,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r19,cf-experimental-romance-r19,260,198,-62,0,0,0,0,0,0,false,false,false,0,0,0
