budgetLabel,timeoutDeltaMs,runId,round,scopeFamily,requiredFamily,profileId,profileLabel,queryText,queryFamily,queryCascadeIndex,attemptNumber,elapsedMs,timedOut,abortOrigin,responseHeadersReceived,bodyCompleted,docsReturned,acceptedAfterSourcePolicy,finalContribution,contributedToFinalSlate,timeoutBudgetRemainingAtFetchStartMs,failedReason,lifecycleStage
production,0,production-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,574,false,,true,true,8,0,0,false,2000,,completed
production,0,production-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,172,false,,true,true,8,0,0,false,1500,emergency_fallback_probe_returned_docs,completed
plus_250ms,250,plus_250ms-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,134,false,,true,true,8,2,0,false,2250,,completed
plus_250ms,250,plus_250ms-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,82,false,,true,true,8,7,3,true,2250,,completed
plus_250ms,250,plus_250ms-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,449,false,,true,true,8,0,0,false,2250,,completed
plus_250ms,250,plus_250ms-adventure_historical-r4,4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,99,false,,true,true,8,0,0,false,1500,emergency_fallback_probe_returned_docs,completed
plus_750ms,750,plus_750ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,97,false,,true,true,8,2,1,true,2750,,completed
plus_750ms,750,plus_750ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,251,false,,true,true,8,3,1,true,2750,,completed
plus_750ms,750,plus_750ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,2764,true,local_timeout,false,false,0,0,0,false,2750,per_query_timeout,pre_headers
plus_750ms,750,plus_750ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,3,1,339,false,,true,true,8,3,0,false,2750,,completed
plus_750ms,750,plus_750ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,5,1,204,false,,true,true,8,2,0,false,2750,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,195,false,,true,true,8,2,1,true,2000,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,378,false,,true,true,8,3,1,true,2000,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,123,false,,true,true,8,0,0,false,2000,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,1104,false,,true,true,8,4,0,false,2000,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,283,false,,true,true,8,3,0,false,2000,,completed
production,0,production-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,97,false,,true,true,8,2,0,false,2000,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,523,false,,true,true,8,2,1,true,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,121,false,,true,true,8,3,1,true,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,112,false,,true,true,8,0,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,116,false,,true,true,8,4,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,184,false,,true,true,8,3,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r4,4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,2255,true,local_timeout,false,false,0,0,0,false,2250,per_query_timeout,pre_headers
